date,time_of_day,hour,temperature,precipitation,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,temp_max_daily,temp_min_daily,precipitation_sum_daily,sunshine_duration_daily
2025-11-02,evening,18,21.6,0.0,,,,,29.6,20.0,0.0,35793.6
2025-11-03,morning,6,28.4,0.0,,,,,29.6,18.0,0.0,35869.93
2025-11-03,midday,12,25.4,0.0,,,,,29.6,18.0,0.0,35869.93
2025-11-03,evening,18,20.5,0.0,,,,,29.6,18.0,0.0,35869.93
2025-11-04,morning,6,29.2,0.0,,,,,30.4,18.0,0.0,35489.23
2025-11-04,midday,12,26.5,0.0,,,,,30.4,18.0,0.0,35489.23
2025-11-04,evening,18,22.5,0.0,,,,,30.4,18.0,0.0,35489.23
2025-11-05,morning,6,29.5,0.0,,,,,30.5,19.5,0.0,35345.21
2025-11-05,midday,12,27.0,0.0,,,,,30.5,19.5,0.0,35345.21
2025-11-05,evening,18,22.4,0.0,,,,,30.5,19.5,0.0,35345.21
2025-11-06,morning,6,28.4,0.0,,,,,29.8,16.5,0.0,35346.86
2025-11-06,midday,12,25.5,0.0,,,,,29.8,16.5,0.0,35346.86
2025-11-06,evening,18,19.4,0.0,,,,,29.8,16.5,0.0,35346.86
2025-11-07,morning,6,26.0,0.0,,,,,27.8,15.9,0.0,35482.01
2025-11-07,midday,12,24.8,0.0,,,,,27.8,15.9,0.0,35482.01
2025-11-07,evening,18,19.0,0.0,,,,,27.8,15.9,0.0,35482.01
2025-11-08,morning,6,26.7,0.0,,,,,28.4,15.8,0.0,35239.46
2025-11-08,midday,12,25.3,0.0,,,,,28.4,15.8,0.0,35239.46
2025-11-08,evening,18,19.5,0.0,,,,,28.4,15.8,0.0,35239.46
2025-11-09,morning,6,26.1,0.0,,,,,27.2,15.3,0.0,35239.05
2025-11-09,midday,12,24.5,0.0,,,,,27.2,15.3,0.0,35239.05
2025-11-09,evening,18,18.2,0.0,,,,,27.2,15.3,0.0,35239.05
2025-11-10,morning,6,25.9,0.0,,,,,27.3,15.1,0.0,34987.22
2025-11-10,midday,12,24.5,0.0,,,,,27.3,15.1,0.0,34987.22
2025-11-10,evening,18,18.5,0.0,,,,,27.3,15.1,0.0,34987.22
2025-11-11,morning,6,25.8,0.0,,,,,27.2,15.1,0.0,34986.88
2025-11-11,midday,12,24.2,0.0,,,,,27.2,15.1,0.0,34986.88
2025-11-11,evening,18,18.7,0.0,,,,,27.2,15.1,0.0,34986.88
2025-11-12,morning,6,26.2,0.0,,,,,27.6,15.0,0.0,34841.59
2025-11-12,midday,12,24.4,0.0,,,,,27.6,15.0,0.0,34841.59
2025-11-12,evening,18,18.5,0.0,,,,,27.6,15.0,0.0,34841.59
2025-11-13,morning,6,25.9,0.0,,,,,27.7,14.7,0.0,34697.45
2025-11-13,midday,12,24.5,0.0,,,,,27.7,14.7,0.0,34697.45
2025-11-13,evening,18,18.3,0.0,,,,,27.7,14.7,0.0,34697.45
